pk_business_id,License Number,Federal Registry No,Local Registry No,Business Name,Legal Type,pk_stakeholder_ids,Stakeholder Rates,Stakeholder Types,Activity Names,Activity Names Serial #,Unit Including,Unit,Landlord,Street,Zone,Fax,Telephone,Mobile,P.O. Box,Expiry Date,Renewal Date,Est. Date,Receipt Date,Receipt No.,Remarks
56,7060751599,64-801-6663,01-273-8554,"Dickinson, Schaden and Parisian",Business Development,Orange Company,0.5,Sponsor,Car Manufacturing,1,5500909460,27,8277318448,Larry,,742-245-6938,405-112-8823,553-227-8246,1,3/4/2018,1/6/2018,23/11/2018,15/07/2018,1336852968,
57,2322377155,43-941-2851,95-897-1687,"Kautzer, Cole and Stanton",Support,Orange Company,0.2,Project Manager,Food Delivery,2,2758213524,7,6522985799,Lakewood Gardens,,776-979-7328,941-876-9003,383-361-2189,61355,11/12/2018,30/10/2018,12/6/2018,13/12/2018,1930760574,
58,1809466652,54-819-3712,24-829-8573,"Nolan, Zulauf and Keeling",Human Resources,Glass Inc.,0.2,Project Manager,Food Provider,3,3833960507,18,2725034728,Raven,,545-909-7906,376-109-8530,253-255-0385,740,10/12/2018,3/12/2018,15/06/2018,21/09/2018,8982577947,
59,6643051525,48-569-3487,06-375-2208,Nienow-Rowe,Sales,Souk al Waha,0.4,Sponsor,Car Manufacturing,4,1023222272,16,7518288222,Quincy,,667-488-3954,853-757-4788,634-851-0806,3576,17/01/2019,9/6/2018,20/08/2018,20/09/2018,5941718039,
60,1200436156,10-869-2814,35-615-5866,Deckow Group,Training,Glass Inc.,0.5,Sponsor,IT Services,5,9378102689,25,1675928517,Schurz,,943-226-4263,634-192-4801,693-872-1808,0,11/7/2018,25/06/2018,6/2/2019,27/06/2018,1922727067,
61,5773371553,70-662-7239,63-614-1239,"Rau, Muller and Rippin",Human Resources,Souk al Waha,1,Project Manager,Food Delivery,1,5956523123,16,3196153096,Marcy,,245-275-6676,465-430-4806,381-257-4302,17909,9/9/2018,26/09/2018,18/09/2018,5/6/2018,5833712823,
62,4137459053,23-049-1786,20-620-7057,Langworth and Sons,Accounting,Glass Inc.,0.5,Sponsor,Food Delivery,2,9018539767,20,930266943,Calypso,,518-974-5261,413-243-7321,521-865-2789,224,1/3/2018,5/11/2018,24/05/2018,7/10/2018,7133222469,
63,9296226724,80-020-4222,02-649-3469,Bradtke-Hirthe,Accounting,Glass Inc.,0.8,Sponsor,IT Services,3,9390829186,1,8147441851,Erie,,140-505-5985,914-104-7205,683-647-3838,90,19/01/2019,1/9/2018,3/4/2018,1/4/2018,4064059743,
64,7340245200,20-648-8299,67-049-6891,Yost LLC,Sales,Souk al Waha,0.2,Partner & Responsible Manager,IT Services,4,607203617,11,6727263272,Monument,,106-327-8880,753-424-4803,967-340-2051,3,17/10/2018,23/12/2018,2/3/2018,1/1/2019,9536709740,
65,963988298,83-270-4884,86-799-8150,Prosacco and Sons,Marketing,Glass Inc.,0.7,Sponsor,IT Services,5,3070587771,5,7926490113,Milwaukee,,164-569-9495,708-316-5312,891-151-4304,1231,23/07/2018,21/06/2018,20/12/2018,12/2/2019,2229939467,
66,9355537948,98-840-1880,92-270-7939,Hilpert Inc,Accounting,Glass Inc.,0.5,Project Manager,Car Manufacturing,1,5648644620,29,2293749401,Crescent Oaks,,420-445-9589,935-574-2368,491-211-6538,8,10/12/2018,25/05/2018,7/8/2018,26/11/2018,3225753769,
67,872289249,57-193-9489,60-462-7413,Auer-Funk,Legal,Orange Company,1,Partner & Responsible Manager,Food Provider,2,4271730580,1,6308027332,Oriole,,249-785-5496,923-612-0817,405-500-7600,10048,2/11/2018,24/05/2018,24/04/2018,11/3/2018,9551273443,
68,1457339919,58-688-5712,45-062-5046,"Toy, Sporer and Dibbert",Product Management,Souk al Waha,0.3,Signatory,Food Provider,3,6665450155,14,4041174880,Michigan,,657-656-2185,686-862-5577,444-706-3547,6033,24/04/2018,8/8/2018,19/06/2018,20/01/2019,2584381311,
69,1681349612,15-265-9390,52-895-4967,Rutherford Inc,Sales,Souk al Waha,0.6,Partner & Responsible Manager,Car Manufacturing,4,8128689134,8,6732984489,Mccormick,,265-775-3451,975-598-9793,399-950-0403,645,21/12/2018,26/10/2018,4/6/2018,23/11/2018,3090486121,
70,7175591314,13-474-6796,71-374-4784,Leffler and Sons,Marketing,Orange Company,1,Project Manager,Fashion Designing,5,8013860744,30,3766785486,Vahlen,,835-443-8824,343-979-3137,138-367-3898,17675,18/10/2018,10/7/2018,11/3/2018,8/2/2019,8881006235,
71,2062595360,04-182-1167,45-352-1061,Brown Inc,Training,Souk al Waha,0,Project Manager,Car Manufacturing,1,3096299447,11,6685162481,Tomscot,,661-653-9220,875-178-3320,405-628-7605,39,12/4/2018,3/7/2018,26/07/2018,1/1/2019,1399247026,
72,6210525970,60-637-4158,25-250-0784,"Quitzon, Erdman and Grant",Research and Development,Orange Company,0.9,Signatory,Fashion Designing,2,4648151941,24,856911070,Orin,,523-580-9321,439-990-2930,995-204-8167,3238,1/8/2018,30/09/2018,31/05/2018,23/12/2018,3662936291,
73,6895110143,27-721-3519,92-785-4908,Gislason-Mitchell,Product Management,Orange Company,0.9,Sponsor,Car Manufacturing,3,2949519121,11,9098831516,Nova,,702-240-4347,884-622-5299,782-613-8380,91501,4/8/2018,25/04/2018,10/12/2018,21/09/2018,1334650527,
74,1609109767,60-544-6931,82-646-9521,Windler Group,Product Management,Glass Inc.,0.3,Sponsor,Fashion Designing,4,7803108245,31,5990689438,Pawling,,304-701-8248,888-290-1849,195-445-2251,88582,9/3/2018,12/2/2019,6/4/2018,12/5/2018,3364807825,
75,3148055039,26-063-2169,44-141-6630,"Ritchie, Bergstrom and Reilly",Business Development,Orange Company,0.1,Sponsor,IT Services,5,5314687143,17,1245842528,Tomscot,,416-906-4649,490-835-2552,960-788-7695,5,1/9/2018,12/6/2018,22/12/2018,28/12/2018,1348696516,
76,9314688887,82-101-0938,70-184-6995,"Parker, Feest and Bernier",Training,Orange Company,0.4,Sponsor,Food Delivery,1,8869082938,4,9473151861,Jackson,,632-115-6373,794-345-3112,205-101-7915,77,20/09/2018,3/4/2018,18/12/2018,2/9/2018,5691711024,
77,4990692667,99-662-0875,61-692-3465,Quitzon Group,Marketing,Souk al Waha,0.6,Sponsor,Car Manufacturing,2,8886190727,32,2779472308,Johnson,,128-114-8856,770-294-7111,231-947-6855,7,5/10/2018,9/3/2018,28/09/2018,15/04/2018,6480000242,
78,2948723876,62-528-6376,31-281-3796,"Rippin, Hoppe and Roob",Human Resources,Orange Company,0.8,Signatory,Food Delivery,3,6674151025,26,6023677533,Dixon,,875-345-8787,337-628-1067,712-872-0030,681,4/10/2018,25/11/2018,13/02/2018,27/09/2018,2867316731,
79,4320597532,90-102-5801,78-501-4028,"Johnston, Gleichner and Mueller",Business Development,Glass Inc.,0.7,Project Manager,Food Delivery,4,7708738431,10,3407663226,Dahle,,529-783-9392,537-925-1229,440-971-8689,0,2/2/2019,21/04/2018,22/10/2018,13/07/2018,1873081723,
80,7539288094,08-501-9043,68-398-5058,Goldner-Fisher,Support,Glass Inc.,0.6,Project Manager,Food Delivery,5,4032986355,9,716666774,Ruskin,,276-225-1736,645-803-9756,297-977-4359,7775,10/4/2018,15/07/2018,8/7/2018,5/10/2018,1586672886,
81,3928967487,09-897-7049,73-241-0642,Schowalter LLC,Marketing,Orange Company,0.9,Sponsor,Fashion Designing,1,5758901539,24,5865159186,Lakeland,,955-440-9245,914-654-9793,659-761-1780,342,11/3/2018,4/12/2018,15/12/2018,16/04/2018,5294844095,
82,4466160600,21-039-1080,95-515-9512,Ward-Hirthe,Business Development,Glass Inc.,0.3,Project Manager,IT Services,2,7357390713,15,7979400291,Cardinal,,814-530-5196,360-836-0963,532-531-8333,98,23/03/2018,30/04/2018,28/09/2018,19/01/2019,1175780731,
83,6146117951,67-681-8503,01-722-1508,Collins-Dickens,Human Resources,Souk al Waha,0.7,Partner & Responsible Manager,Food Provider,3,1941536948,10,7661783282,Buell,,438-536-7297,155-825-2210,542-317-6262,23,8/2/2019,19/10/2018,31/05/2018,14/01/2019,9683255256,
84,4057148647,05-689-7695,37-560-5116,Jenkins and Sons,Accounting,Orange Company,0.8,Project Manager,Food Delivery,4,9272981611,17,3412061522,Sutteridge,,897-124-7597,929-649-9028,379-677-6155,13343,5/9/2018,28/11/2018,13/07/2018,6/8/2018,5216615598,
85,8707347669,00-786-3803,69-606-9281,"Crona, Howell and Gutmann",Engineering,Orange Company,0.5,Sponsor,Car Manufacturing,5,6957829677,29,1885577834,Blaine,,535-172-7412,676-978-2967,420-858-4697,84048,26/02/2018,16/10/2018,27/12/2018,12/11/2018,3568698412,
86,9566695802,14-722-7545,18-600-2830,Altenwerth-Hamill,Training,Orange Company,1,Partner & Responsible Manager,Car Manufacturing,1,3055385276,14,9676621161,Service,,104-415-6370,397-646-5966,768-931-7833,846,1/1/2019,12/8/2018,3/1/2019,18/12/2018,7107812866,
87,2319903968,61-532-8224,63-444-8959,Haag-Franecki,Training,Steak Holder,0.2,Sponsor,Car Manufacturing,2,7043772842,13,2852227452,South,,203-231-7398,730-970-3217,267-430-9646,9,13/10/2018,15/04/2018,27/03/2018,16/09/2018,5865344447,
88,8645630443,02-790-2793,74-874-0355,"McGlynn, Auer and Blick",Accounting,Steak Holder,0.2,Project Manager,IT Services,3,1624407862,4,626413281,La Follette,,949-506-1363,433-393-8774,210-670-3018,9,11/3/2018,23/11/2018,24/01/2019,19/12/2018,7208869375,
89,4124527047,99-247-7338,15-910-9079,Bradtke-Pouros,Engineering,Orange Company,0.5,Partner & Responsible Manager,Fashion Designing,4,9597633795,15,7968860822,Autumn Leaf,,853-692-6776,992-809-3333,825-171-7804,279,4/6/2018,26/12/2018,11/11/2018,14/01/2019,7416640326,
90,1426919778,51-222-0567,58-045-4535,Stamm-Quigley,Training,Steak Holder,0.7,Sponsor,Car Manufacturing,5,2005682330,22,3386005519,Namekagon,,180-174-1777,602-674-4588,629-468-5501,8,23/08/2018,17/11/2018,26/05/2018,5/1/2019,7789573977,
91,2725244102,33-817-8569,61-949-1075,"Tremblay, Bahringer and Ziemann",Engineering,Steak Holder,0.3,Partner & Responsible Manager,IT Services,1,4216807003,26,5676437510,Magdeline,,572-687-1967,798-428-7051,974-891-5804,79,28/05/2018,11/5/2018,1/8/2018,21/01/2019,540979988,
92,9808590861,66-414-6892,37-761-2188,"Torp, Price and Trantow",Training,Steak Holder,0.2,Sponsor,Car Manufacturing,2,2236126956,18,9837312858,Rutledge,,658-704-2633,352-117-1758,913-314-4787,2,1/6/2018,12/2/2019,10/12/2018,6/5/2018,4146346894,
93,4323042272,57-616-7455,60-071-2740,Thompson Inc,Services,Souk al Waha,0.3,Project Manager,IT Services,3,1674446330,16,4259089765,Portage,,428-323-8485,703-610-5279,739-892-7066,223,28/06/2018,24/04/2018,29/09/2018,10/5/2018,2938611897,
94,8979555776,80-707-5004,42-776-6521,Mraz-Wilkinson,Marketing,Orange Company,0.1,Sponsor,Food Provider,4,8497625099,19,1099757274,Hovde,,477-418-3908,811-674-2188,795-562-8309,78037,19/02/2018,2/3/2018,25/02/2018,29/11/2018,8387041106,
95,1230521704,72-120-2280,06-612-5879,Skiles-Effertz,Support,Glass Inc.,0.4,Signatory,Fashion Designing,5,7928065053,2,8686986072,Veith,,968-212-1001,313-854-3018,432-111-5576,928,11/9/2018,13/02/2018,18/12/2018,13/11/2018,5988489427,
96,4414169380,52-192-4582,69-078-5474,Bailey LLC,Research and Development,Glass Inc.,0.7,Partner & Responsible Manager,Food Provider,1,2941377786,2,7183020932,Rigney,,685-280-3951,233-404-8521,226-104-4829,8,16/09/2018,28/09/2018,12/4/2018,30/04/2018,1475435363,
97,293838100,91-689-5528,68-107-8967,Purdy and Sons,Business Development,Souk al Waha,0.9,Partner & Responsible Manager,Fashion Designing,2,911171983,9,1728234344,Holy Cross,,177-376-5279,428-535-7951,211-800-0007,73,3/3/2018,2/3/2018,9/3/2018,2/5/2018,8053673686,
98,3321362988,37-437-7918,12-756-5329,Pfeffer and Sons,Engineering,Steak Holder,0.4,Project Manager,IT Services,3,197345301,14,3933149800,Roth,,676-257-8136,319-170-4491,815-569-0139,373,29/09/2018,22/08/2018,4/5/2018,3/1/2019,8119779355,
